length_parallel,length_cross,RMSE,phys_pen,score
20.0,6.0,0.1628886377315833,0.019051623680905332,0.17241444957203597
20.0,8.0,0.24185949409601218,0.016949986726755552,0.25033448745938996
20.0,12.0,0.3092742548221079,0.016291686106936914,0.31742009787557635
30.0,6.0,0.1560153196727616,0.02069448281270285,0.16636256107911304
30.0,8.0,0.1957080186277734,0.016722203730386243,0.20406912049296652
30.0,12.0,0.24503914380663644,0.011879177465972467,0.25097873253962266
40.0,6.0,0.20858848312871278,0.02010250542975988,0.21863973584359273
40.0,8.0,0.18908791556374205,0.0154018782515039,0.196788854689494
40.0,12.0,0.20029761365155613,0.011073875829731501,0.20583455156642189
